subject,type,queue,priority,language,version,tag_1,tag_2,tag_3,tag_4
Wesentlicher Sicherheitsvorfall,Incident,Technical Support,high,de,51,Security,Outage,Disruption,Data Breach
Account Disruption,Incident,Technical Support,high,en,51,Account,Disruption,Outage,IT
Inquiry Regarding Invoice Details,Request,Billing and Payments,low,en,51,Billing,Payment,Account,Documentation
Question About Marketing Agency Software Compatibility,Problem,Sales and Pre-Sales,medium,en,51,Product,Feature,Feedback,Tech Support
Feature Query,Request,Technical Support,high,en,51,Feature,Product,Documentation,Feedback
System Interruptions,Incident,Service Outages and Maintenance,high,en,51,Outage,Disruption,Performance,IT
Connectivity Problems with Printer on MacBook Pro,Incident,Technical Support,medium,en,51,Network,Hardware,Performance,Bug
Anfrage nach detaillierten Angaben zur Systemarchitektur der Plattform,Request,Technical Support,low,de,51,Documentation,Feedback,IT,Tech Support
Anfrage zur KlÃ¤rung der Auswirkungen eines Serviceausfalls,Request,Service Outages and Maintenance,high,de,51,Disruption,Outage,Recovery,Support
VPN Access Issue,Incident,Product Support,medium,en,51,Network,Disruption,VPN,Tech Support
Issue with SaaS Platform Functionality,Incident,Product Support,medium,de,51,Bug,Performance,Disruption,Feature
Immediate Help Needed: Technical Problem with Cloud SaaS Service,Problem,IT Support,medium,en,51,Bug,Crash,Network,Performance
Inquiry for Detailed Information on Agency Offerings,Request,Product Support,high,en,51,Product,Service,Feedback,Sales
Request for Issue Explanation,Incident,Product Support,medium,en,51,Bug,Issue,Disruption,Support
Inquiry for In-Depth Details on Financial Institution Offerings,Request,Customer Service,medium,en,51,Inquiry,Product,Feature,Customer Support
Enhancing Multi-Unit Marketing Processes,Request,Technical Support,high,en,51,Feature,Account,Marketing,Performance
Inquiry for Comprehensive Marketing Service Details,Request,Customer Service,medium,en,51,Marketing,Feedback,Sales,Lead
Query About Future Service Disruptions and Maintenance Timelines,Request,Service Outages and Maintenance,medium,en,51,Disruption,Maintenance,Notification,IT
Proposal for Upgrades to Big Data Analytics Systems,Change,Technical Support,high,en,51,Product,Feature,Feedback,IT
Guidelines for Incorporating Seagate Expansion Drives,Request,Technical Support,high,en,51,Product,Documentation,Security,IT
Unable to Access Office Applications,Incident,Human Resources,high,en,51,Account,Security,Compatibility,Tech Support
Query,Request,Billing and Payments,medium,en,51,Billing,Payment,Subscription,Product
Multiple Device Connection Problems,Incident,IT Support,medium,en,51,Network,Disruption,Hardware,Tech Support
Network Connection Problems,Incident,Technical Support,medium,en,51,Network,Performance,Disruption,IT
VerbindungsstÃ¶rung,Problem,IT Support,high,de,51,Network,Disruption,Connectivity,Tech Support
Audio Hardware Detected,Problem,Technical Support,low,en,51,Hardware,Tech Support,Driver,Audio
Anfrage zu Sicherheitsvorkehrungen,Request,Returns and Exchanges,low,de,51,Security,Compliance,Data Privacy,Product
Resolving Bose Headset and QNAP NAS Connection Problems,Incident,Technical Support,medium,en,51,Product,Hardware,Network,Disruption
Intermittent Access Problems on SaaS Platform,Incident,Customer Service,medium,en,51,Network,Performance,Outage,Disruption
Problem with Payment Billing Procedures,Problem,Billing and Payments,medium,en,51,Billing,Payment,Account,Assistance
Request for CI/CD Pipeline Documentation,Request,Technical Support,low,en,51,Documentation,Feature,IT,Tech Support
Video Issue with Mini-Projector on Ubuntu,Incident,Technical Support,high,de,51,Video,Hardware,Performance,Compatibility
Connectivity Problems with Smart Device,Incident,Customer Service,low,en,51,Network,Disruption,Connectivity,Tech Support
Inquiry for Comprehensive Billing Procedure Details,Request,Billing and Payments,low,en,51,Billing,Payment,Dispute,Documentation
Urgent: Ongoing System Failures Disrupting EMR/PACS Telehealth Services,Incident,Technical Support,high,en,51,Bug,Outage,Disruption,Emergency
Multiple Equipment Failures Affecting Operations,Incident,Technical Support,high,en,51,Outage,Disruption,Equipment,Hardware
Organizational Revision,Change,General Inquiry,medium,en,51,Organization,Feedback,Support,Documentation
Inquiry for Guidance on Smart Water Leak Detector Sensor Setup,Request,Product Support,high,en,51,Product,Feature,Documentation,Tech Support
SSD-Ausfall,Incident,Technical Support,medium,de,51,Hardware,Bug,Performance,Outage
Request for Integration Assistance,Request,Technical Support,medium,en,51,Feature,Security,IT,Tech Support
Network Connectivity Issues,Incident,Technical Support,medium,de,51,Network,Connectivity,Disruption,Hardware
Alert for Unauthorized Entry,Problem,Customer Service,low,en,51,Security,IT,Tech Support,Alert
Anfrage zur KompatibilitÃ¤t und Sicherheitsintegration,Request,Sales and Pre-Sales,high,de,51,Security,Tech Support,Product,Feedback
MÃ¤ngel im Incident-Response-Prozess,Problem,IT Support,medium,de,51,Bug,Performance,Disruption,Recovery
Investment Inquiry,Request,Sales and Pre-Sales,low,de,51,Finance,Investment,Strategy,Customer Support
Multiple Product Interruptions Disrupting Services,Incident,Technical Support,high,en,51,Disruption,Service,Product,Network
Revise Marketing Firm Framework,Change,Customer Service,high,en,51,Feedback,Documentation,Product,Technology
Query Regarding Customized Rule-Driven ESG Investment Approaches,Request,Returns and Exchanges,medium,en,51,Feature,Security,IT,Tech Support
Anfrage zur RÃ¼ckerstattung,Request,Returns and Exchanges,medium,de,51,Refund,Return,Product,Documentation
Overheating Concern,Incident,IT Support,high,en,51,Hardware,Performance,Disruption,Recovery
Eiltiges Update fÃ¼r Hardware und Software,Change,Service Outages and Maintenance,medium,de,51,Hardware,Software,Disruption,Support
Integration of Configuration Modifications,Change,Technical Support,high,en,51,Feature,IT,Tech Support,Configuration
Anfrage zur Verbindung externer GerÃ¤te Ã¼ber Practices-Integrations-APIs,Request,Technical Support,medium,de,51,API,Security,Performance,Tech Support
Request for Marketing Information,Request,Customer Service,medium,de,51,Marketing,Feedback,Product,Information
Financial Investment Inquiry,Request,Customer Service,low,en,51,Finance,Investment,Customer Support,Information
Query Regarding Investment Solutions,Request,Customer Service,medium,en,51,Product,Feature,Feedback,IT
Query Regarding Integration Resources,Request,Customer Service,medium,en,51,Documentation,Support,Integration,Tool
Anfrage zur Ãœberarbeitung der Verkaufsdokumente fÃ¼r Sicherheitsdienste,Change,Sales and Pre-Sales,medium,de,51,Product,Documentation,Feedback,Sales
Anfrage zu technischen Spezifikationen der SaaS-LÃ¶sung,Request,Customer Service,low,de,51,Product,Feature,Security,Performance
Discrepancies in Recent Billing Statement,Incident,Billing and Payments,medium,en,51,Billing,Account,Hardware,Discrepancy
Dringende Angelegenheit: Verlust der WLAN-Verbindung,Problem,Service Outages and Maintenance,high,de,51,Network,Outage,Disruption,Hardware
Request for Clarification on Compliance Procedures,Problem,Customer Service,low,en,51,Compliance,Documentation,Process,Support
Office Equipment Malfunctions,Problem,Technical Support,high,en,51,Hardware,Network,Disruption,Maintenance
Anfrage zu Abrechnungs- und Zahlungsdetails,Request,Billing and Payments,high,de,51,Billing,Payment,Refund,Account
Network Connectivity Problems Impacting Medical Equipment,Incident,IT Support,medium,en,51,Network,Connectivity,Performance,Security
Several Critical Devices Experiencing Network Failures,Incident,Technical Support,high,en,51,Network,Hardware,Outage,Disruption
Problem Report,Problem,Product Support,medium,en,51,Account,Support,Feedback,Documentation
Multiple Product Interruptions,Incident,Product Support,medium,de,51,Disruption,Outage,Performance,Service
Performance Issue on SaaS Platform,Problem,Technical Support,high,de,51,Performance,Outage,Disruption,Reliability
Device Compatibility Concern,Problem,Customer Service,medium,en,51,Product,Hardware,Software,Compatibility
Anfrage zu Rechnungs- und Zahlungsinformationen,Request,Billing and Payments,high,de,51,Billing,Payment,Invoice,Support
Network Connectivity Problems,Incident,Product Support,medium,en,51,Network,Disruption,Connectivity,Tech Support
Critical Support Needed for Cloud-Native SaaS System Disruption Affecting Business Functions,Incident,Customer Service,high,en,51,Disruption,Performance,Outage,Cloud-Native
Product Assistance Request,Request,IT Support,high,en,51,Product,Support,Feedback,Tech Support
Occasional Disruptions Across Several Products Post-Update,Incident,IT Support,medium,en,51,Disruption,Outage,Performance,Bug
Synchronisationsproblem,Incident,Technical Support,low,de,51,Performance,Bug,Data,Synchronization
Periodic System Response Failures,Incident,Technical Support,high,en,51,Performance,Outage,Disruption,Recovery
Critical Security Breach in Telehealth Platforms,Incident,Technical Support,high,en,51,Security,Bug,Outage,Disruption
Instructions for Returning Products,Request,Returns and Exchanges,high,en,51,Return,Product,Customer Support,Feedback
Inquiry About Product Integration Procedures,Request,Technical Support,medium,en,51,Product,Documentation,Feature,Tech Support
Request for Enhancements to Big Data Infrastructure for Analytics Platforms,Change,Technical Support,high,de,51,Feature,Performance,Analytics,Tech Support
Anfrage zu Investment-Strategie-Angeboten,Request,Product Support,low,de,51,Product,Feature,Feedback,Investment
Issue Notification,Incident,Technical Support,medium,en,51,Disruption,Outage,Performance,Feature
Anfrage zu NetzwerkausrÃ¼stungsdetails,Request,Customer Service,low,de,51,Network,Hardware,IT,Tech Support
Connectivity Issue with iOS Device,Incident,Technical Support,high,de,51,Network,Connectivity,Performance,Disruption
Malfunction,Problem,IT Support,high,en,51,Bug,Hardware,Performance,Outage
Invoice Inquiry,Request,Billing and Payments,high,en,51,Billing,Invoice,Account,Support
Guidance on Secure EMR Integration,Request,Technical Support,high,en,51,Security,IT,Tech Support,Documentation
Bluetooth-Verbindungsprobleme,Incident,IT Support,medium,de,51,Bluetooth,Hardware,Connectivity,Disruption
Inquiry for In-Depth Product Integration Details,Request,IT Support,high,en,51,Product,Feature,Documentation,Tech Support
Urgent Service Disruption Detected in EMR System,Incident,Service Outages and Maintenance,high,en,51,Disruption,Network,Security,IT
Inquiry for Details of Recent Incident,Incident,Human Resources,medium,en,51,Account,Incident,Security,Feedback
Billing Instructions,Request,Billing and Payments,medium,en,51,Billing,Payment,Product,Documentation
Rechnungserkundigung,Request,Billing and Payments,medium,de,51,Billing,Refund,Payment,Disruption
Issues with RAID Controller Device Connectivity,Incident,Product Support,medium,de,51,Hardware,Performance,Disruption,Tech Support
Inquiry About Procedures for Incorporating Agile SaaS Hardware Devices,Request,Technical Support,high,en,51,Documentation,Hardware,Tech Support,Product
BenÃ¶tigte Anleitung zur effektiven bereichsÃ¼bergreifenden Kollaboration,Request,Product Support,high,de,51,Documentation,Feedback,Training,IT
Issue Report,Incident,Technical Support,medium,en,51,Disruption,Outage,Performance,Cloud
System Infrastructure Enhancement,Change,IT Support,medium,en,51,Performance,Maintenance,Infrastructure,Technology
Critical Service Disruption in Telehealth,Incident,Service Outages and Maintenance,medium,en,51,Disruption,Network,Security,Tech Support
Advice on Securing Telehealth Platforms,Request,Technical Support,medium,en,51,Security,IT,Tech Support,Documentation
Query Regarding Assistance with System Integration,Request,IT Support,medium,en,51,Product,Integration,Technical Support,Feedback
Peripheral Device Difficulties,Incident,IT Support,medium,en,51,Hardware,Performance,Network,Disruption
Immediate Help Needed: Major Data Lake Access Problem,Incident,Technical Support,medium,en,51,Network,Performance,Disruption,Outage
KlÃ¤rungsbedarf,Problem,Customer Service,low,de,51,Support,Issue,Troubleshooting,Technical Support
Immediate Attention Required: Platform Downtime Disrupting Device Connectivity,Incident,Technical Support,high,en,51,Outage,Disruption,Recovery,Hardware
Inquiry About Company Offerings,Request,General Inquiry,medium,en,51,Product,Documentation,Feedback,Sales
Marketing Summary,Request,Customer Service,high,en,51,Marketing,Feedback,Service,Campaign
Inconsistency in Billing Charges,Incident,Billing and Payments,low,en,51,Billing,Refund,Account,Payment
Request for Documentation and Expert Support for Securely Integrating Valve Index VR Kit with Ubuntu,Request,IT Support,low,en,51,Documentation,Tech Support,Security,Hardware
Query Regarding Platform Features,Request,Technical Support,high,en,51,Feature,Documentation,Feedback,Tech Support
Dringende UnterstÃ¼tzung bei Problem mit der Cloud-Plattform des Agile Teams benÃ¶tigt,Problem,Customer Service,high,de,51,Network,Performance,Disruption,Tech Support
Invoice Discrepancy Concern,Problem,Billing and Payments,low,en,51,Billing,Account,Payment,Refund
Urgent: Extensive Service Outage Affecting SaaS Platform,Incident,Technical Support,high,en,51,Outage,Disruption,Hardware,Software
Billing Discrepancy Across Multiple Items,Incident,Billing and Payments,high,en,51,Billing,Discrepancy,Invoice,Product
Revision of Maintenance and Outage Notification Protocols,Change,Service Outages and Maintenance,low,en,51,Maintenance,Outage,Notification,Protocols
Critical Alert: Connectivity Disruptions in Devices,Incident,Technical Support,medium,en,51,Network,Disruption,Security,Tech Support
Severe Service Disruption Detected in EMR Platform,Incident,Service Outages and Maintenance,high,en,51,Disruption,Network,Security,IT
"Vorfall bei GerÃ¤teanbindung auf SaaS-Plattform, KommunikationsstÃ¶rungen",Incident,Product Support,medium,de,51,Bug,Disruption,Performance,Network
Integration Ã¼ber mehrere GerÃ¤te hinweg,Request,Customer Service,medium,de,51,Feature,Integration,Automation,Financial Services
Request to Return Electronic Hardware Items,Incident,Returns and Exchanges,low,en,51,Return,Hardware,Product,Issue
Probleme mit der WLAN-Verbindung,Problem,Product Support,medium,de,51,Network,Performance,Disruption,IT
Inquiry About Marketing Agency Services,Request,Sales and Pre-Sales,low,en,51,Sales,Lead,Feedback,Marketing
Zahlreiche GerÃ¤te im BÃ¼ro laufen ordnungsgemÃ¤ÃŸ,Incident,IT Support,medium,de,51,Hardware,Software,Maintenance,Support
Request for Clarification on Product Issue Impact,Incident,Product Support,low,en,51,Product,Issue,Feedback,Support
Mehrere Probleme mit GerÃ¤ten,Problem,Technical Support,low,de,51,Hardware,Performance,Disruption,Tech Support
Immediate Attention Needed: Multiple Equipment Experiencing Connectivity Performance Problems,Incident,IT Support,high,en,51,Hardware,Network,Performance,Disruption
Query About Service Downtime Maintenance Progress,Request,Service Outages and Maintenance,high,en,51,Outage,Disruption,Maintenance,Recovery
Alert: Disruption in Microservices Deployment,Incident,Customer Service,low,en,51,Disruption,Microservice,Deployment,Performance
Problem with Printer Not Printing Files,Problem,Customer Service,low,en,51,Printer,Hardware,Issue,Support
Dringende UnterstÃ¼tzung wegen Abrechnungsdifferenz benÃ¶tigt,Problem,Billing and Payments,medium,de,51,Billing,Account,Payment,Disruption
Mac Mini System Instability,Problem,Product Support,low,en,51,Bug,Crash,Hardware,Performance
Critical Alert: Fault in Automated Portfolio Rebalancing System,Incident,Technical Support,medium,en,51,Alert,Disruption,Performance,Software
Inquiry Regarding Agile Team Configuration Details,Request,Customer Service,low,en,51,IT,Tech Support,Feedback,Documentation
Query About Security Standards and Practices,Request,Customer Service,high,en,51,Security,Compliance,Hardware,Software
Synchronization Problem,Problem,IT Support,high,en,51,Synchronization,Performance,Software,Integration
Immediate Attention Needed: Cloud SaaS Service Performance Concerns,Problem,Technical Support,high,en,51,Performance,Outage,Disruption,Tech Support
Immediate Attention Needed: Multiple Units Experiencing Connectivity Performance Problems,Incident,IT Support,high,en,51,Network,Performance,Hardware,Tech Support
Multiple Device Connectivity Issues Following Recent OS Update,Incident,Technical Support,medium,de,51,Network,Disruption,Hardware,Tech Support
Anfrage zur IT-Support-Integration,Request,IT Support,medium,de,51,IT,Tech Support,Software,Hardware
Multiple Product Disruptions Impacting Services,Incident,Technical Support,high,en,51,Disruption,Product,Network,Security
Incident Affecting Multiple Devices,Incident,IT Support,high,de,51,Bug,Malware,Performance,Disruption
Anfrage zu anstehenden Wartungsarbeiten und geplanten Serviceunterbrechungen,Request,Service Outages and Maintenance,medium,de,51,Maintenance,Outage,Disruption,IT
Image Distortion on Projector Across Multiple Devices,Incident,Product Support,low,en,51,Bug,Hardware,Performance,Disruption
Incident Report,Incident,IT Support,medium,de,51,Performance,Outage,Disruption,Tech Support
Display Connectivity Problems with Monitor,Incident,Customer Service,low,en,51,Display,Connectivity,Hardware,Troubleshooting
Improving Marketing Workflow Efficiency,Change,Technical Support,high,en,51,Feature,Performance,Feedback,IT
Urgent: Cannot Submit Performance Marketing Analytics Report Due to Data Lake Issue,Incident,Product Support,medium,en,51,Performance,Analytics,Data Integration,Tech Support
Urgent: Technical Issue Disrupting Campaign Performance Metrics Analysis,Incident,Technical Support,high,en,51,Bug,Performance,Disruption,Tech Support
Audio-Ausgabefehler,Problem,Technical Support,medium,de,51,Audio,Hardware,Sound,Tech Support
Urgent Login Problem with QuickBooks Account,Incident,Human Resources,medium,en,51,Account,Login,IT,Tech Support
Billing Inconsistency on Multi-Product Invoice,Incident,Billing and Payments,low,en,51,Billing,Invoice,Product,Payment
Issue with Automated Rebalancing Systems,Incident,Technical Support,high,en,51,Feature,Security,Account,Tech Support
Incident Concerning Device Impact,Incident,Technical Support,high,de,51,Outage,Disruption,Hardware,Network
Connectivity Issue,Incident,Technical Support,medium,de,51,Network,Disruption,Outage,Tech Support
Eilige UnterstÃ¼tzung benÃ¶tigt: Abrechnungsprobleme bei mehreren AbonnementverlÃ¤ngerungen,Incident,Billing and Payments,high,de,51,Billing,Payment,Refund,Automation
Anfrage zur technischen Dokumentation der SaaS-Architektur,Request,Technical Support,high,de,51,Documentation,Feature,IT,Tech Support
Anfrage nach ausfÃ¼hrlichen Richtlinien fÃ¼r den Produktintegrationsablauf,Request,Customer Service,high,de,51,Product,Documentation,Technical Support,Feedback
Invoicing Inquiry,Change,Billing and Payments,high,en,51,Billing,Payment,Account,Support
Herausforderungen bei der Abstimmung im Agile Team,Problem,Customer Service,medium,de,51,Agile,Coordination,Organization,Sprint
Fortbestehende Verbindungsprobleme mit dem GerÃ¤t,Problem,Product Support,medium,de,51,Network,Connectivity,Software,Firmware
Invoice Issue,Problem,Billing and Payments,low,de,51,Billing,Invoice,Payment,Issue
Inquiry for In-Depth Details on Agency Offerings,Request,Product Support,high,en,51,Customer Service,Feedback,Inquiry,Product
Anfrage zum Funktionsvergleich,Request,Customer Service,medium,de,51,Feature,Security,Product,IT
Query About Payment Details on Invoice,Request,Billing and Payments,high,en,51,Billing,Payment,Account,Documentation
Security Management Summary,Request,Customer Service,high,en,51,Security,Compliance,Security Management,Documentation
Optimizing Marketing Workflow Efficiency,Change,Technical Support,high,en,51,Feature,Performance,Automation,Account
Dringliche Mitteilung: Umfangreiche Serviceunterbrechung bei SaaS-Plattform,Incident,Technical Support,high,de,51,Outage,Disruption,Hardware,Software
Client Reporting Dashboard Refresh Issue,Problem,Technical Support,high,en,51,Performance,Dashboard,Issue,Tech Support
Connectivity Problems with USB-C Ethernet Adapter After Recent Network Update,Problem,IT Support,low,en,51,Network,Connectivity,Hardware,Driver
